ENSEMBL,Cold,Minor cold,Pungent,Warm
ENSRNOG00000015519,0,2,1,1
ENSRNOG00000015582,0,1,0,1
ENSRNOG00000016097,0,0,0,1
ENSRNOG00000016122,0,0,1,1
ENSRNOG00000016265,0,2,1,1
ENSRNOG00000016286,0,0,0,1
ENSRNOG00000016325,0,0,0,1
ENSRNOG00000016348,0,0,0,1
ENSRNOG00000016356,0,0,0,1
ENSRNOG00000016403,0,3,3,3
ENSRNOG00000016475,0,1,0,0
ENSRNOG00000016488,0,0,1,1
ENSRNOG00000016727,1,1,0,1
ENSRNOG00000016756,0,1,0,0
ENSRNOG00000016798,0,0,2,2
ENSRNOG00000016826,0,0,2,2
ENSRNOG00000016838,0,0,2,2
ENSRNOG00000016887,0,1,0,0
ENSRNOG00000016906,0,1,0,1
ENSRNOG00000016924,0,2,0,2
ENSRNOG00000016945,0,0,2,2
ENSRNOG00000017002,0,1,0,0
ENSRNOG00000017188,0,0,1,1
ENSRNOG00000017291,0,1,0,0
ENSRNOG00000017311,0,1,0,0
ENSRNOG00000017512,2,2,0,1
ENSRNOG00000017539,0,0,0,1
ENSRNOG00000017593,0,1,0,0
ENSRNOG00000017619,1,1,0,2
ENSRNOG00000017777,0,1,0,0
ENSRNOG00000017872,2,2,0,0
ENSRNOG00000017878,1,1,0,2
ENSRNOG00000017927,0,1,0,0
ENSRNOG00000018126,0,2,2,3
ENSRNOG00000018170,0,2,3,3
ENSRNOG00000018205,0,0,0,1
ENSRNOG00000018454,0,0,1,1
ENSRNOG00000018487,0,0,0,1
ENSRNOG00000018569,0,1,0,0
ENSRNOG00000018755,1,1,0,1
ENSRNOG00000018824,0,0,0,1
ENSRNOG00000018853,0,1,0,0
ENSRNOG00000018940,0,1,0,0
ENSRNOG00000019014,0,0,0,1
ENSRNOG00000019035,0,0,0,1
ENSRNOG00000019074,0,0,1,0
ENSRNOG00000019080,0,0,1,1
ENSRNOG00000019141,0,0,1,1
ENSRNOG00000019145,1,0,0,0
ENSRNOG00000019180,0,2,3,2
ENSRNOG00000019183,0,0,1,1
ENSRNOG00000019223,2,4,0,4
ENSRNOG00000019321,0,0,1,1
ENSRNOG00000019372,0,1,0,0
ENSRNOG00000019481,0,0,1,1
ENSRNOG00000019486,1,0,0,1
ENSRNOG00000019500,0,3,1,2
ENSRNOG00000019573,0,0,1,1
ENSRNOG00000019598,1,2,0,2
ENSRNOG00000019606,0,0,0,1
ENSRNOG00000019659,0,0,0,1
ENSRNOG00000019752,0,1,0,0
ENSRNOG00000020155,0,0,0,1
ENSRNOG00000020179,0,1,0,0
ENSRNOG00000020410,0,0,0,1
ENSRNOG00000020440,0,0,3,4
ENSRNOG00000020480,0,0,3,3
ENSRNOG00000020743,1,0,0,0
ENSRNOG00000020776,0,0,1,1
ENSRNOG00000020853,0,0,1,1
ENSRNOG00000020918,0,1,0,0
ENSRNOG00000021046,0,0,1,1
ENSRNOG00000021206,0,0,1,2
ENSRNOG00000021463,1,3,3,4
ENSRNOG00000021678,2,1,0,0
ENSRNOG00000021763,0,2,1,1
ENSRNOG00000021924,0,0,1,0
ENSRNOG00000022308,0,2,1,1
